Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-07, 2020-07-07T22:00:05, 4051.1, 4052.1, 4050.4, 4051.9
2020-07-07, 2020-07-07T22:00:06, 4051.7, 4051.7, 4051.1, 4051.7
2020-07-07, 2020-07-07T22:00:07, 4051.4, 4051.9, 4051.4, 4051.9
2020-07-07, 2020-07-07T22:00:08, 4051.4, 4051.4, 4051.4, 4051.4
2020-07-07, 2020-07-07T22:00:09, 4050.8, 4050.8, 4048.5, 4049.1
2020-07-07, 2020-07-07T22:00:11, 4048.9, 4049.1, 4048.9, 4049.1
2020-07-07, 2020-07-07T22:00:12, 4048.9, 4049.4, 4048.9, 4049.4
2020-07-07, 2020-07-07T22:00:13, 4049.9, 4051.1, 4048.9, 4051.1
2020-07-07, 2020-07-07T22:00:14, 4051.4, 4052.9, 4051.4, 4051.6
2020-07-07, 2020-07-07T22:00:15, 4053.1, 4053.6, 4053.1, 4053.1
2020-07-07, 2020-07-07T22:00:16, 4053.3, 4053.9, 4053.3, 4053.6
2020-07-07, 2020-07-07T22:00:17, 4053.1, 4053.6, 4053.1, 4053.4
2020-07-07, 2020-07-07T22:00:18, 4053.5, 4054.9, 4053.5, 4054.9
2020-07-07, 2020-07-07T22:00:19, 4055.1, 4055.1, 4055.1, 4055.1
2020-07-07, 2020-07-07T22:00:20, 4054.6, 4054.9, 4054.6, 4054.9
2020-07-07, 2020-07-07T22:00:21, 4054.7, 4054.7, 4054.1, 4054.1
2020-07-07, 2020-07-07T22:00:22, 4053.4, 4053.4, 4053.1, 4053.1
2020-07-07, 2020-07-07T22:00:23, None, None, None, None
2020-07-07, 2020-07-07T22:00:24, 4052.4, 4052.4, 4051.6, 4051.6
2020-07-07, 2020-07-07T22:00:26, 4051.1, 4051.6, 4051.1, 4051.1
2020-07-07, 2020-07-07T22:00:28, 4051.3, 4051.3, 4051.3, 4051.3
2020-07-07, 2020-07-07T22:00:30, 4051.1, 4051.3, 4051.1, 4051.3
2020-07-07, 2020-07-07T22:00:31, 4052.4, 4052.9, 4052.4, 4052.9
2020-07-07, 2020-07-07T22:00:32, 4053.1, 4053.4, 4053.1, 4053.4
2020-07-07, 2020-07-07T22:00:33, 4053.1, 4053.4, 4053.1, 4053.1
2020-07-07, 2020-07-07T22:00:34, 4049.6, 4050.1, 4049.6, 4050.1
2020-07-07, 2020-07-07T22:00:38, 4050.3, 4051.1, 4050.3, 4051.1
2020-07-07, 2020-07-07T22:00:40, None, None, None, None
2020-07-07, 2020-07-07T22:00:41, None, None, None, None
2020-07-07, 2020-07-07T22:00:47, 4050.4, 4050.5, 4050.1, 4050.5
2020-07-07, 2020-07-07T22:00:48, 4050.8, 4050.8, 4050.8, 4050.8
